诊断名,诊断码
孤立性蛋白尿伴有特指的形态学损害:密集沉积物病,N06.6
孤立性蛋白尿伴有特指的形态学损害:弥漫性新月形肾小球肾炎,N06.7
孤立性蛋白尿伴有特指的形态学损害:其他,N06.8
孤立性蛋白尿伴有特指的形态学损害:未特指,N06.9
遗传性肾病，不可归类在他处者,N07
遗传性肾病，不可归类在他处者:轻微的肾小球异常,N07.0
遗传性肾病，不可归类在他处者:局灶性和节段性肾小球损害,N07.1
遗传性肾病，不可归类在他处者:弥漫性膜性肾小球肾炎,N07.2
遗传性肾病，不可归类在他处者:弥漫性肾小球膜性增生性肾小球肾炎,N07.3
遗传性肾病，不可归类在他处者:弥漫性毛细血管内增生性肾小球肾炎,N07.4
遗传性肾病，不可归类在他处者:弥漫性肾小球膜毛细血管性肾小球肾炎,N07.5
遗传性肾病，不可归类在他处者:密集沉积物病,N07.6
遗传性肾病，不可归类在他处者:弥漫性新月形肾小球肾炎,N07.7
遗传性肾病，不可归类在他处者:其他,N07.8
遗传性肾病，不可归类在他处者:未特指,N07.9
分类于他处的疾病引起的肾小球疾患,N08*
分类于他处的传染病和寄生虫病引起的肾小球疾患,N08.0*
肿瘤性疾病引起的肾小球疾患,N08.1*
累及免疫机制的血液疾病和疾患引起的肾小球疾患,N08.2*
糖尿病引起的肾小球疾患,N08.3*
其他内分泌、营养和代谢疾病引起的肾小球疾患,N08.4*
系统性结缔组织疾患引起的肾小球疾患,N08.5*
分类于他处的其他疾病引起的肾小球疾患,N08.8*
急性肾小管-间质肾炎,N10
慢性肾小管-间质肾炎,N11
与反流有关的非梗阻性慢性肾盂肾炎,N11.0
慢性梗阻性肾盂肾炎,N11.1
其他的慢性肾小管-间质肾炎,N11.8
未特指的慢性肾小管-间质肾炎,N11.9
肾小管-间质肾炎，未特指急性或慢性,N12
梗阻性和反流性尿路病,N13
肾盂积水伴有输尿管肾盂连接处梗阻,N13.0
肾盂积水伴有输尿管狭窄，不可归类在他处者,N13.1
肾盂积水伴有肾和输尿管结石梗阻,N13.2
其他和未特指的肾盂积水,N13.3
输尿管积水,N13.4
输尿管扭结和狭窄不伴有肾盂积水,N13.5
肾积脓,N13.6
与膀胱-输尿管反流有关的尿路病,N13.7
其他梗阻性和反流性尿路病,N13.8
未特指的梗阻性和反流性尿路病,N13.9
药物和重金属诱发的肾小管-间质和肾小管情况,N14
镇痛剂肾病,N14.0
其他药物、药剂和生物制品诱发的肾病,N14.1
未特指的药物、药剂和生物制品诱发的肾病,N14.2
重金属诱发的肾病,N14.3
毒性肾病，不可归类在他处者,N14.4
其他肾小管-间质疾病,N15
巴尔干肾病,N15.0
肾和肾周脓肿,N15.1
其他特指的肾小管-间质疾病,N15.8
未特指的肾小管-间质疾病,N15.9
分类于他处的疾病引起的肾小管-间质疾患,N16*
分类于他处的传染病和寄生虫病引起的肾小管-间质疾患,N16.0*
肿瘤性疾病引起的肾小管-间质疾患,N16.1*
涉及免疫机制的血液疾病和疾患引起的肾小管-间质疾患,N16.2*
代谢性疾病引起的肾小管-间质疾患,N16.3*
系统性结缔组织疾患引起的肾小管-间质疾患,N16.4*
移植排斥引起的肾小管-间质疾患,N16.5*
分类于他处的其他疾病引起的肾小管-间质疾患,N16.8*
急性肾衰竭,N17
急性肾衰竭伴有肾小管坏死,N17.0
急性肾衰竭伴有急性肾皮质坏死,N17.1
急性肾衰竭伴有肾髓质坏死,N17.2
其他的急性肾衰竭,N17.8
未特指的急性肾衰竭,N17.9
慢性肾病,N18
慢性肾脏疾病，1期,N18.1
慢性肾脏疾病，2期,N18.2
慢性肾脏疾病，3期,N18.3
慢性肾脏疾病，4期,N18.4
慢性肾脏疾病，5期,N18.5
未特指的慢性肾病,N18.9
未特指的肾衰竭,N19
肾和输尿管结石,N20
肾结石,N20.0
输尿管结石,N20.1
肾结石伴有输尿管结石,N20.2
未特指的泌尿系结石,N20.9
下泌尿道结石,N21
膀胱结石,N21.0
尿道结石,N21.1
其他的下泌尿道结石,N21.8
未特指的下泌尿道结石,N21.9
分类于他处的疾病引起的泌尿道结石,N22*
血吸虫病[裂体吸虫病]引起的泌尿道结石,N22.0*
分类于他处的其他疾病引起的泌尿道结石,N22.8*
未特指的肾绞痛,N23
肾小管功能损害所致的疾患,N25
肾性骨营养不良,N25.0
肾性尿崩症,N25.1
肾小管功能损害所致的其他疾患,N25.8
肾小管功能损害所致未特指的疾患,N25.9
未特指的肾挛缩,N26
原因不明的小肾,N27
单侧小肾,N27.0
双侧小肾,N27.1
未特指的小肾,N27.9
肾和输尿管的其他疾患，不可归类在他处者,N28
肾缺血和肾梗死,N28.0
肾囊肿,N28.1
肾和输尿管其他特指的疾患,N28.8
肾和输尿管未特指的疾患,N28.9
分类于他处的疾病引起的肾和输尿管的其他疾患,N29*
肾的晚期梅毒,N29.0*
分类于他处的传染病和寄生虫病引起的肾和输尿管的其他疾患,N29.1*
分类于他处的其他疾病引起的肾和输尿管的其他疾患,N29.8*
膀胱炎,N30
急性膀胱炎,N30.0
间质性膀胱炎（慢性）,N30.1
其他的慢性膀胱炎,N30.2
膀胱三角区炎,N30.3
放射性膀胱炎,N30.4
其他的膀胱炎,N30.8
未特指的膀胱炎,N30.9
膀胱神经肌肉功能不良，不可归类在他处者,N31
无抑制神经病性膀胱，不可归类在他处者,N31.0
反射性神经病性膀胱，不可归类在他处者,N31.1
迟缓性神经病性膀胱，不可归类在他处者,N31.2
膀胱其他的神经肌肉功能不良,N31.8
膀胱未特指的神经肌肉功能不良,N31.9
膀胱的其他疾患,N32
膀胱颈梗阻,N32.0
膀胱肠瘘,N32.1
膀胱瘘，不可归类在他处者,N32.2
膀胱憩室,N32.3
非创伤性膀胱破裂,N32.4
膀胱其他特指的疾患,N32.8
膀胱未特指的疾患,N32.9
分类于他处的疾病引起的膀胱疾患,N33*
结核性膀胱炎,N33.0*
分类于他处的其他疾病引起的膀胱疾患,N33.8*
尿道炎和尿道综合征,N34
尿道脓肿,N34.0
非特异性尿道炎,N34.1
其他的尿道炎,N34.2
未特指的尿道综合征,N34.3
尿道狭窄,N35
创伤后尿道狭窄,N35.0
感染后尿道狭窄，不可归类在他处者,N35.1
其他的尿道狭窄,N35.8
未特指的尿道狭窄,N35.9
尿道的其他疾患,N36
尿道瘘,N36.0
尿道憩室,N36.1
尿道肉阜,N36.2
尿道粘膜脱垂,N36.3
尿道其他特指的疾患,N36.8
未特指的尿道疾患,N36.9
分类于他处的疾病引起的尿道疾患,N37*
分类于他处的疾病引起的尿道炎,N37.0*
分类于他处的疾病引起的其他尿道疾病,N37.8*
泌尿系统的其他疾患,N39
部位未特指的泌尿道感染,N39.0
未特指的持续性蛋白尿,N39.1
未特指的直立性蛋白尿,N39.2
压力性尿失禁,N39.3
其他特指的尿失禁,N39.4
泌尿系统其他特指的疾患,N39.8
泌尿系统未特指的疾患,N39.9
前列腺增生,N40
前列腺炎性疾病,N41
急性前列腺炎,N41.0
慢性前列腺炎,N41.1
前列腺脓肿,N41.2
前列腺膀胱炎,N41.3
其他前列腺炎性疾病,N41.8
未特指的前列腺炎性疾病,N41.9
前列腺的其他疾患,N42
前列腺结石,N42.0
前列腺充血和出血,N42.1
前列腺萎缩,N42.2
前列腺发育不良低度不典型增生,N42.3
前列腺其他特指的疾患,N42.8
前列腺未特指的疾患,N42.9
鞘膜积液和精子囊肿,N43
包绕性鞘膜积液,N43.0
感染性鞘膜积液,N43.1
其他的鞘膜积液,N43.2
未特指的鞘膜积液,N43.3
精子囊肿,N43.4
睾丸扭转,N44
睾丸炎和附睾炎,N45
睾丸炎、附睾炎和附睾-睾丸炎，伴有脓肿,N45.0
睾丸炎、附睾炎和附睾-睾丸炎，不伴有脓肿,N45.9
男性不育症,N46
包皮过长、包茎和嵌顿包茎,N47
阴茎的其他疾患,N48
阴茎白斑,N48.0
龟头包皮炎,N48.1
阴茎的其他炎性疾患,N48.2
阴茎异常勃起,N48.3
器质性原因的阳萎,N48.4
阴茎溃疡,N48.5
阴茎海绵体硬结症,N48.6
阴茎其他特指的疾患,N48.8
阴茎未特指的疾患,N48.9
男性生殖器官炎性疾患，不可归类在他处者,N49
精囊炎性疾患,N49.0
精索、鞘膜和输精管炎性疾患,N49.1
阴囊炎性疾患,N49.2
男性生殖器官其他特指的炎性疾患,N49.8
男性生殖器官未特指的炎性疾患,N49.9
男性生殖器官的其他疾患,N50
睾丸萎缩,N50.0
男性生殖器官的血管疾患,N50.1
男性生殖器官其他特指的疾患,N50.8
男性生殖器官未特指的疾患,N50.9
分类于他处的疾病引起的男性生殖器官疾患,N51*
分类于他处的疾病引起的前列腺疾患,N51.0*
分类于他处的疾病引起的睾丸和附睾疾患,N51.1*
分类于他处的疾病引起的龟头炎,N51.2*
分类于他处的疾病引起的男性生殖器官的其他疾患,N51.8*
良性乳腺发育不良,N60
乳房孤立囊肿,N60.0
弥漫性囊性乳腺病,N60.1
乳房纤维囊性乳腺病,N60.2
乳房纤维硬化,N60.3
乳管扩张症,N60.4
其他的良性乳腺发育不良,N60.8
未特指的良性乳腺发育不良,N60.9
乳房炎性疾患,N61
乳房肥大,N62
未特指的乳房肿块,N63
乳房的其他疾患,N64
乳头裂和乳头瘘,N64.0
乳房脂肪坏死,N64.1
乳房萎缩,N64.2
与分娩无关的乳溢,N64.3
乳痛症,N64.4
乳房的其他体征和症状,N64.5
乳房其他特指的疾患,N64.8
乳房未特指的疾患,N64.9
输卵管炎和卵巢炎,N70
急性输卵管炎和卵巢炎,N70.0
慢性输卵管炎和卵巢炎,N70.1
未特指的输卵管炎和卵巢炎,N70.9
子宫炎性疾病，除外宫颈,N71
子宫急性炎性疾病,N71.0
子宫慢性炎性疾病,N71.1
子宫未特指的炎性疾病,N71.9
宫颈炎性疾病,N72
其他女性盆腔炎性疾病,N73
急性子宫旁组织炎和盆腔蜂窝织炎,N73.0
慢性子宫旁组织炎和盆腔蜂窝织炎,N73.1
未特指的子宫旁组织炎和盆腔蜂窝织炎,N73.2
女性急性盆腔腹膜炎,N73.3
女性慢性盆腔腹膜炎,N73.4
女性未特指的盆腔腹膜炎,N73.5
女性盆腔腹膜粘连,N73.6
其他特指的女性盆腔炎性疾病,N73.8
未特指的女性盆腔炎性疾病,N73.9
分类于他处的疾病引起的女性盆腔炎性疾患,N74*
宫颈结核感染（A18.1+）,N74.0*
女性结核性盆腔炎性疾病（A18.1+）,N74.1*
"女性梅毒性盆腔炎性疾病（A51.4+,A52.7+）",N74.2*
女性淋球菌性盆腔炎性疾病（A54.2+）,N74.3*
女性衣原体性盆腔炎性疾病（A56.1+）,N74.4*
分类于他处的其他疾病引起的女性盆腔炎性疾患,N74.8*
前庭大腺[巴多林腺]疾病,N75
前庭大腺囊肿,N75.0
前庭大腺脓肿,N75.1
前庭大腺的其他疾病,N75.8
未特指的前庭大腺疾病,N75.9
阴道和外阴的其他炎症,N76
急性阴道炎,N76.0
亚急性和慢性阴道炎,N76.1
急性外阴炎,N76.2
亚急性和慢性外阴炎,N76.3
外阴肿脓,N76.4
阴道溃疡,N76.5
外阴溃疡,N76.6
阴道和外阴其他特指的炎症,N76.8
分类于他处的疾病引起的外阴阴道溃疡和炎症,N77*
分类于他处的传染病和寄生虫病引起的外阴溃疡,N77.0*
分类于他处的传染病和寄生虫病引起的阴道炎、外阴炎和外阴阴道炎,N77.1*
分类于他处的其他疾病引起的外阴阴道溃疡和炎症,N77.8*
子宫内膜异位症,N80
子宫的子宫内膜异位症,N80.0
卵巢的子宫内膜异位症,N80.1
输卵管的子宫内膜异位症,N80.2
盆腔腹膜的子宫内膜异位症,N80.3
直肠阴道隔和阴道的子宫内膜异位症,N80.4
肠的子宫内膜异位症,N80.5
皮肤瘢痕的子宫内膜异位症,N80.6
其他的子宫内膜异位症,N80.8
未特指的子宫内膜异位症,N80.9
女性生殖器脱垂,N81
女性尿道膨出,N81.0
膀胱膨出,N81.1
子宫阴道不完全性脱垂,N81.2
完全性子宫阴道脱垂,N81.3
未特指的子宫阴道脱垂,N81.4
阴道小肠膨出,N81.5
直肠膨出,N81.6
其他的女性生殖器脱垂,N81.8
未特指的女性生殖器脱垂,N81.9
累及女性生殖道的瘘,N82
膀胱阴道瘘,N82.0
其他女性泌尿-生殖道瘘,N82.1
阴道小肠瘘,N82.2
阴道大肠瘘,N82.3
其他的女性肠-生殖道瘘,N82.4
女性生殖道-皮肤瘘,N82.5
其他的女性生殖道瘘,N82.8
未特指的女性生殖道瘘,N82.9
卵巢、输卵管和阔韧带的非炎性疾患,N83
卵巢滤泡囊肿,N83.0
黄体囊肿,N83.1
其他和未特指的卵巢囊肿,N83.2
卵巢和输卵管后天性萎缩,N83.3
卵巢和输卵管脱垂和疝,N83.4
卵巢、卵巢蒂和输卵管的扭转,N83.5
输卵管血肿,N83.6
阔韧带血肿,N83.7
卵巢、输卵管和阔韧带的其他非炎性疾患,N83.8
卵巢、输卵管和阔韧带未特指的非炎性疾患,N83.9
女性生殖道息肉,N84
子宫体息肉,N84.0
宫颈息肉,N84.1
阴道息肉,N84.2
外阴息肉,N84.3
女性生殖道其他部位的息肉,N84.8
女性生殖道未特指的息肉,N84.9
子宫其他非炎性疾患，除外宫颈,N85
子宫内膜腺性增生,N85.0
子宫内膜腺瘤性增生,N85.1
子宫肥大,N85.2
子宫复旧不全,N85.3
子宫错位,N85.4
子宫内翻,N85.5
子宫内粘连,N85.6
子宫积血,N85.7
其他特指的子宫非炎性疾患,N85.8
未特指的子宫非炎性疾患,N85.9
宫颈糜烂和外翻,N86
宫颈发育不良,N87
轻度宫颈发育不良,N87.0
中度宫颈发育不良,N87.1
重度宫颈发育不良，不可归类在他处者,N87.2
未特指的宫颈发育不良,N87.9
宫颈其他非炎性疾患,N88
宫颈白斑,N88.0
宫颈陈旧性裂伤,N88.1
宫颈缩窄和狭窄,N88.2
宫颈机能不全,N88.3
宫颈肥厚性延长,N88.4
宫颈其他特指的非炎性疾患,N88.8
未特指的宫颈非炎性疾患,N88.9
阴道的其他非炎性疾患,N89
轻度阴道发育不良,N89.0
中度阴道发育不良,N89.1
重度阴道发育不良，不可归类在他处者,N89.2
未特指的阴道发育不良,N89.3
阴道白斑,N89.4
阴道狭窄和闭锁,N89.5
处女膜环过紧,N89.6
阴道积血,N89.7
阴道其他特指的非炎性疾患,N89.8
阴道未特指的非炎性疾患,N89.9
外阴和会阴的其他非炎性疾患,N90
轻度外阴发育不良,N90.0
中度外阴发育不良,N90.1
重度外阴发育不良，不可归类在他处者,N90.2
未特指的外阴发育不良,N90.3
外阴白斑,N90.4
外阴萎缩,N90.5
外阴肥大,N90.6
外阴囊肿,N90.7
外阴和会阴其他特指的非炎性疾患,N90.8
外阴和会阴未特指的非炎性疾患,N90.9
无月经、月经过少和月经稀少,N91
原发闭经,N91.0
继发闭经,N91.1
未特指的闭经,N91.2
原发性月经稀少,N91.3
继发性月经稀少,N91.4
未特指的月经稀少,N91.5
月经过多、月经频繁和月经不规则,N92
月经过多和频繁伴有规则周期,N92.0
月经过多和频繁伴有不规则周期,N92.1
青春期月经过多,N92.2
排卵期出血,N92.3
绝经前期出血过多,N92.4
其他特指的月经不规则,N92.5
未特指的月经不规则,N92.6
其他异常的子宫和阴道出血,N93
性交后出血和接触性出血,N93.0
其他特指的异常的子宫和阴道出血,N93.8
未特指的异常的子宫和阴道出血,N93.9
与女性生殖器官和月经周期有关的疼痛和其他情况,N94
经间痛,N94.0
性交疼痛,N94.1
阴道痉挛,N94.2
经前紧张征,N94.3
原发性痛经,N94.4
继发性痛经,N94.5
未特指的痛经,N94.6
其他特指的与女性生殖器官和月经周期有关的情况,N94.8
未特指的与女性生殖器官和月经周期有关的情况,N94.9
绝经期和其他围绝经期的疾患,N95
绝经后出血,N95.0
绝经期和女性更年期状态,N95.1
绝经后萎缩性阴道炎,N95.2
与人工绝经有关的状态,N95.3
其他特指的绝经期和围绝经期的疾患,N95.8
未特指的绝经期和围绝经期的疾患,N95.9
习惯性流产,N96
女性不孕症,N97
与不排卵有关的女性不孕症,N97.0
输卵管起因的女性不孕症,N97.1
子宫起因的女性不孕症,N97.2
宫颈起因的女性不孕症,N97.3
与男性因素有关的女性不孕症,N97.4
其他原因的女性不孕症,N97.8
未特指的女性不孕症,N97.9
与人工受精有关的并发症,N98
与人工受精有关的感染,N98.0
卵巢过度刺激,N98.1
试管内受精后企图植入受精卵的并发症,N98.2
在胚胎转移中企图植入胚胎的并发症,N98.3
与人工受精有关的其他并发症,N98.8
与人工受精有关的未特指的并发症,N98.9
泌尿生殖系统的操作后疾患，不可归类在他处者,N99
操作后肾衰竭,N99.0
操作后尿道狭窄,N99.1
阴道手术后粘连,N99.2
子宫切除术后阴道穹隆脱垂,N99.3
操作后盆腔腹膜粘连,N99.4
泌尿道外口功能不良,N99.5
泌尿生殖系统的其他操作后疾患,N99.8
泌尿生殖系统未特指的操作后疾患,N99.9
异位妊娠,O00
腹腔妊娠,O00.0
输卵管妊娠,O00.1
卵巢妊娠,O00.2
其他的异位妊娠,O00.8
未特指的异位妊娠,O00.9
葡萄胎[水泡状胎块],O01
典型葡萄胎,O01.0
不完全和部分葡萄胎,O01.1
未特指的葡萄胎,O01.9
受孕的其他异常产物,O02
萎缩卵和非葡萄胎,O02.0
稽留流产,O02.1
受孕的其他特指的异常产物,O02.8
受孕的未特指的异常产物,O02.9
自然流产,O03
自然流产:不完全性，并发生殖道和盆腔感染,O03.0
自然流产:不完全性，并发延迟或过度出血,O03.1
自然流产:不完全性，并发栓塞,O03.2
自然流产:不完全性，伴有其他和未特指的并发症,O03.3
自然流产:不完全性，无并发症,O03.4
自然流产:完全性或未特指，并发生殖道和盆腔感染,O03.5
自然流产:完全性或未特指，并发延迟或过度出血,O03.6
自然流产:完全性或未特指，并发栓塞,O03.7
自然流产:完全性或未特指，伴有其他和未特指的并发症,O03.8
自然流产:完全性或未特指，无并发症,O03.9
医疗性流产,O04
医疗性流产:不完全性，并发生殖道和盆腔感染,O04.0
医疗性流产:不完全性，并发延迟或过度出血,O04.1
医疗性流产:不完全性，并发栓塞,O04.2
医疗性流产:不完全性，伴有其他和未特指的并发症,O04.3
医疗性流产:不完全性，无并发症,O04.4
医疗性流产:完全性或未特指，并发生殖道和盆腔感染,O04.5
医疗性流产:完全性或未特指，并发延迟或过度出血,O04.6
医疗性流产:完全性或未特指，并发栓塞,O04.7
医疗性流产:完全性或未特指，伴有其他和未特指的并发症,O04.8
医疗性流产:完全性或未特指，无并发症,O04.9
其他流产,O05
其他流产:不完全性，并发生殖道和盆腔感染,O05.0
其他流产:不完全性，并发延迟或过度出血,O05.1
其他流产:不完全性，并发栓塞,O05.2
其他流产:不完全性，伴有其他和未特指的并发症,O05.3
其他流产:不完全性，无并发症,O05.4
其他流产:完全性或未特指，并发生殖道和盆腔感染,O05.5
其他流产:完全性或未特指，并发延迟或过度出血,O05.6
其他流产:完全性或未特指，并发栓塞,O05.7
其他流产:完全性或未特指，伴有其他和未特指的并发症,O05.8
其他流产:完全性或未特指，无并发症,O05.9
未特指的流产,O06
未特指的流产:不完全性，并发生殖道和盆腔感染,O06.0
未特指的流产:不完全性，并发延迟或过度出血,O06.1
未特指的流产:不完全性，并发栓塞,O06.2
未特指的流产:不完全性，伴有其他和未特指的并发症,O06.3
未特指的流产:不完全性，无并发症,O06.4
未特指的流产:完全性或未特指，并发生殖道和盆腔感染,O06.5
未特指的流产:完全性或未特指，并发延迟或过度出血,O06.6
未特指的流产:完全性或未特指，并发栓塞,O06.7
未特指的流产:完全性或未特指，伴有其他和未特指的并发症,O06.8
未特指的流产:完全性或未特指，无并发症,O06.9
企图流产失败,O07
医疗性流产失败，并发生殖道和盆腔感染,O07.0
医疗性流产失败，并发延迟或过度出血,O07.1
医疗性流产失败，并发栓塞,O07.2
医疗性流产失败，伴有其他和未特指的并发症,O07.3
医疗性流产失败，无并发症,O07.4
其他和未特指的企图流产失败，并发生殖道和盆腔感染,O07.5
其他和未特指的企图流产失败，并发延迟或过度出血,O07.6
其他和未特指的企图流产失败，并发栓塞,O07.7
其他和未特指的企图流产失败，伴有其他和未特指的并发症,O07.8
"其他和未特指的企图流产失败,无并发症",O07.9
流产、异位妊娠和葡萄胎妊娠后的并发症,O08
流产、异位妊娠和葡萄胎妊娠后生殖道和盆腔感染,O08.0
流产、异位妊娠和葡萄胎妊娠后的延迟或过度出血,O08.1
流产、异位妊娠和葡萄胎妊娠后的栓塞,O08.2
流产、异位妊娠和葡萄胎妊娠后的休克,O08.3
流产、异位妊娠和葡萄胎妊娠后的肾衰竭,O08.4
流产、异位妊娠和葡萄胎妊娠后的代谢疾患,O08.5
流产、异位妊娠和葡萄胎妊娠后的盆腔器官和组织损伤,O08.6
流产、异位妊娠和葡萄胎妊娠后的其他静脉并发症,O08.7
流产、异位妊娠和葡萄胎妊娠后的其他并发症,O08.8
流产、异位妊娠和葡萄胎妊娠后的未特指的并发症,O08.9
原有的高血压并发于妊娠、分娩和产褥期,O10
原有特发性高血压并发于妊娠、分娩和产褥期,O10.0
原有高血压心脏病并发于妊娠、分娩和产褥期,O10.1
原有高血压肾脏病并发于妊娠、分娩和产褥期,O10.2
原有高血压心脏和肾脏病并发于妊娠、分娩和产褥期,O10.3
原有继发性高血压并发于妊娠、分娩和产褥期,O10.4
原有未特指的高血压并发于妊娠、分娩和产褥期,O10.9
慢性高血压，并发子痫前期,O11
妊娠[妊娠引起的]水肿和蛋白尿不伴有高血压,O12
妊娠水肿,O12.0
妊娠蛋白尿,O12.1
妊娠水肿伴有蛋白尿,O12.2
妊娠[妊娠引起的]高血压,O13
先兆子痫,O14
轻度至中度先兆子痫,O14.0
重度先兆子痫,O14.1
HELLP综合征,O14.2
未特指的先兆子痫,O14.9
子痫,O15
妊娠期子痫,O15.0
分娩期子痫,O15.1
产褥期子痫,O15.2
时间阶段未特指的子痫,O15.9
未特指的孕产妇高血压,O16
妊娠早期出血,O20
先兆流产,O20.0
妊娠早期的其他出血,O20.8
未特指的妊娠早期出血,O20.9
妊娠期剧吐,O21
轻度妊娠剧吐,O21.0
妊娠剧吐伴有代谢紊乱,O21.1
妊娠晚期呕吐,O21.2
并发于妊娠的其他呕吐,O21.8
未特指的妊娠呕吐,O21.9
妊娠期静脉并发症和痔疮,O22
妊娠期下肢静脉曲张,O22.0
妊娠期生殖器静脉曲张,O22.1
妊娠期血栓性浅静脉炎,O22.2
妊娠期深静脉血栓形成,O22.3
妊娠期痔,O22.4
妊娠期大脑静脉血栓形成,O22.5
其他的妊娠期静脉并发症,O22.8
未特指的妊娠期静脉并发症,O22.9
妊娠期泌尿生殖道的感染,O23
妊娠期肾感染,O23.0
妊娠期膀胱感染,O23.1
妊娠期尿道感染,O23.2
妊娠期泌尿道其他部位感染,O23.3
妊娠期泌尿道未特指的感染,O23.4
妊娠期生殖道感染,O23.5
妊娠期其他和未特指的泌尿生殖道感染,O23.9
妊娠期糖尿病,O24
原有的1型糖尿病合并妊娠,O24.0
原有的2型糖尿病合并妊娠,O24.1
原有与营养不良有关的糖尿病合并妊娠,O24.2
原有的未特指的糖尿病合并妊娠,O24.3
妊娠期发生的糖尿病,O24.4
未特指的妊娠期糖尿病,O24.9
妊娠期营养不良,O25
为主要与妊娠有关的其他情况给予的孕产妇医疗,O26
妊娠期体重增加过度,O26.0
妊娠期体重增加过低,O26.1
习惯性流产者的妊娠医疗,O26.2
具有子宫内避孕装置的妊娠,O26.3
妊娠疱疹,O26.4
孕产妇低血压综合征,O26.5
妊娠、分娩和产褥期的肝疾患,O26.6
妊娠、分娩和产褥期耻骨联合的不全脱位,O26.7
其他特指的与妊娠有关的情况,O26.8
未特指的与妊娠有关的情况,O26.9
孕产妇产前筛查的异常所见,O28
孕产妇产前筛查的血液学异常所见,O28.0
孕产妇产前筛查的生物化学异常所见,O28.1
孕产妇产前筛查的细胞学异常所见,O28.2
孕产妇产前筛查的超声波异常所见,O28.3
孕产妇产前筛查的放射学异常所见,O28.4
孕产妇产前筛查的染色体和遗传所见,O28.5
孕产妇产前筛查的其他异常所见,O28.8
孕产妇产前筛查未特指的异常所见,O28.9
妊娠期间麻醉的并发症,O29
妊娠期间麻醉的肺部并发症,O29.0
妊娠期间麻醉的心脏并发症,O29.1
妊娠期间麻醉的中枢神经系统并发症,O29.2
妊娠期间局部麻醉的中毒反应,O29.3
妊娠期间脊髓和硬膜外麻醉诱发的头痛,O29.4
妊娠期间脊髓和硬膜外麻醉的其他并发症,O29.5
妊娠期间插管失败或困难,O29.6
妊娠期间麻醉的其他并发症,O29.8
妊娠期间麻醉未特指的并发症,O29.9
多胎妊娠,O30
双胎妊娠,O30.0
三胎妊娠,O30.1
四胎妊娠,O30.2
其他多胎妊娠,O30.8
未特指的多胎妊娠,O30.9
特发于多胎妊娠的并发症,O31
纸样胎,O31.0
一个或多个胎儿流产后的继续妊娠,O31.1
一个或多个胎儿宫内死亡后的继续妊娠给予的孕产妇医疗,O31.2
特发于多胎妊娠的其他并发症,O31.8
为已知或可疑胎儿先露异常给予的孕产妇医疗,O32
为不稳定产式给予的孕产妇医疗,O32.0
为臀先露给予的孕产妇医疗,O32.1
为横产式和斜产式给予的孕产妇医疗,O32.2
为面先露、额先露和颏先露给予的孕产妇医疗,O32.3
为足月头高给予的孕产妇医疗,O32.4
为多胎妊娠伴有一个或多个胎儿先露异常给予的孕产妇医疗,O32.5
为复合先露给予的孕产妇医疗,O32.6
为胎儿其他先露异常给予的孕产妇医疗,O32.8
为胎儿先露异常给予的未特指的孕产妇医疗,O32.9
为已知或可疑胎盆不称给予的孕产妇医疗,O33
为骨盆骨变形引起的胎盆不称给予的孕产妇医疗,O33.0
为均小骨盆引起的胎盆不称给予的孕产妇医疗,O33.1
为骨盆入口狭窄引起的胎盆不称给予的孕产妇医疗,O33.2
为骨盆出口狭窄引起的胎盆不称给予的孕产妇医疗,O33.3
为母体和胎儿混合性原因的胎盆不称给予的孕产妇医疗,O33.4
为特大胎儿引起的胎盆不称给予的孕产妇医疗,O33.5
为脑积水胎儿引起的胎盆不称给予的孕产妇医疗,O33.6
为其他胎儿变形引起的胎盆不称给予的孕产妇医疗,O33.7
为其他原因的胎盆不称给予的孕产妇医疗,O33.8
为未特指的胎盆不称给予的孕产妇医疗,O33.9
为已知或可疑盆腔器官异常给予的孕产妇医疗,O34
为子宫先天性畸形给予的孕产妇医疗,O34.0
为子宫体肿瘤给予的孕产妇医疗,O34.1
为以前的子宫手术瘢痕给予的孕产妇医疗,O34.2
为宫颈机能不全给予的孕产妇医疗,O34.3
为宫颈其他异常给予的孕产妇医疗,O34.4
为妊娠子宫其他异常给予的孕产妇医疗,O34.5
为阴道异常给予的孕产妇医疗,O34.6
为外阴和会阴异常给予的孕产妇医疗,O34.7
为盆腔器官其他异常给予的孕产妇医疗,O34.8
为盆腔器官未特指的异常给予的孕产妇医疗,O34.9
为已知或可疑胎儿异常和损害给予的孕产妇医疗,O35
为胎儿（可疑）中枢神经系统畸形给予的孕产妇医疗,O35.0
为胎儿（可疑）染色体异常给予的孕产妇医疗,O35.1
为胎儿（可疑）遗传性疾病给予的孕产妇医疗,O35.2
为母体病毒性疾病对胎儿（可疑）损害给予的孕产妇医疗,O35.3
为酒精所致胎儿的（可疑）损害给予的孕产妇医疗,O35.4
为药物所致胎儿的（可疑）损害给予的孕产妇医疗,O35.5
为辐射所致胎儿的（可疑）损害给予的孕产妇医疗,O35.6
为其他医疗操作所致胎儿的（可疑）损害给予的孕产妇医疗,O35.7
为其他（可疑）胎儿异常和损害给予的孕产妇医疗,O35.8
为未特指的（可疑）胎儿异常和损害给予的孕产妇医疗,O35.9
为其他已知或可疑的胎儿问题给予的孕产妇医疗,O36
为Rh因子同种免疫给予的孕产妇医疗,O36.0
为其他同种免疫给予的孕产妇医疗,O36.1
